day_name,month,day,hour,demand
Friday,7,27,10,282
Friday,7,27,11,231
Friday,7,27,12,300
Friday,7,27,13,294
Friday,7,27,14,277
Friday,7,27,15,357
Friday,7,27,16,557
Friday,7,27,17,847
Friday,7,27,18,594
Friday,7,27,19,337
Friday,7,27,20,182
Friday,7,27,21,150
Friday,7,27,22,109
Friday,7,27,23,78
Friday,8,3,0,34
Friday,8,3,1,13
Friday,8,3,2,7
Friday,8,3,3,2
Friday,8,3,4,9
Friday,8,3,5,42
Friday,8,3,6,254
Friday,8,3,8,777
Friday,8,3,9,605
Friday,8,3,10,312
Friday,8,3,11,239
Friday,8,3,12,267
Friday,8,3,13,516
Friday,8,3,15,325
Friday,8,3,16,532
Friday,8,3,17,809
Friday,8,3,18,638
Friday,8,3,19,374
Friday,8,3,20,234
Friday,8,3,21,153
Friday,8,3,22,144
Friday,8,3,23,89
Friday,8,10,0,33
Friday,8,10,1,19
Friday,8,10,2,7
Friday,8,10,3,7
Friday,8,10,4,3
Friday,8,10,5,42
Friday,8,10,6,138
Friday,8,10,7,374
Friday,8,10,8,1686
Friday,8,10,10,307
Friday,8,10,11,552
Friday,8,10,13,315
Friday,8,10,14,308
Friday,8,10,15,377
Friday,8,10,16,597
Friday,8,10,17,861
Friday,8,10,18,623
Friday,8,10,19,369
Friday,8,10,20,209
Friday,8,10,21,156
Friday,8,10,22,126
Friday,8,10,23,106
Friday,8,17,0,25
Friday,8,17,1,19
Friday,8,17,2,8
Friday,8,17,3,6
Friday,8,17,4,9
Friday,8,17,5,37
Friday,8,17,6,142
Friday,8,17,7,770
Friday,8,17,8,800
Friday,8,17,10,279
Friday,8,17,11,274
Friday,8,17,12,292
Friday,8,17,13,283
Friday,8,17,14,284
Friday,8,17,15,364
Friday,8,17,16,557
Friday,8,17,17,1614
Friday,8,17,19,354
Friday,8,17,20,194
Friday,8,17,21,147
Friday,8,17,22,109
Friday,8,17,23,72
Friday,8,24,0,34
Friday,8,24,1,23
Friday,8,24,2,8
Friday,8,24,3,4
Friday,8,24,4,7
Friday,8,24,5,49
Friday,8,24,6,146
Friday,8,24,7,444
Friday,8,24,8,748
Friday,8,24,9,635
Friday,8,24,10,296
Friday,8,24,11,544
Friday,8,24,13,291
Friday,8,24,14,275
Friday,8,24,15,366
