day_name_end,month_end,day_end,hour_end,return_for_next_hour
Friday,10,26,8,813
Friday,10,26,9,762
Friday,10,26,10,367
Friday,10,26,11,247
Friday,10,26,12,292
Friday,10,26,13,298
Friday,10,26,14,334
Friday,10,26,15,335
Friday,10,26,16,520
Friday,10,26,17,810
Friday,10,26,18,639
Friday,10,26,19,336
Friday,10,26,20,208
Friday,10,26,21,142
Friday,10,26,22,139
Friday,10,26,23,89
Friday,11,2,0,34
Friday,11,2,1,19
Friday,11,2,2,12
Friday,11,2,3,7
Friday,11,2,4,6
Friday,11,2,5,30
Friday,11,2,6,115
Friday,11,2,7,313
Friday,11,2,8,835
Friday,11,2,9,793
Friday,11,2,10,310
Friday,11,2,11,260
Friday,11,2,12,279
Friday,11,2,13,308
Friday,11,2,14,246
Friday,11,2,15,296
Friday,11,2,16,518
Friday,11,2,17,813
Friday,11,2,18,710
Friday,11,2,19,365
Friday,11,2,20,221
Friday,11,2,21,178
Friday,11,2,22,148
Friday,11,2,23,103
Friday,11,9,0,39
Friday,11,9,1,11
Friday,11,9,2,31
Friday,11,9,3,6
Friday,11,9,4,8
Friday,11,9,5,33
Friday,11,9,6,229
Friday,11,9,7,54
Friday,11,9,8,679
Friday,11,9,9,642
Friday,11,9,10,258
Friday,11,9,11,196
Friday,11,9,12,226
Friday,11,9,13,267
Friday,11,9,14,235
Friday,11,9,15,246
Friday,11,9,16,423
Friday,11,9,17,679
Friday,11,9,18,504
Friday,11,9,19,530
Friday,11,9,20,177
Friday,11,9,21,8
Friday,11,9,22,92
Friday,11,9,23,138
Friday,11,16,0,34
Friday,11,16,1,9
Friday,11,16,2,15
Friday,11,16,3,6
Friday,11,16,4,4
Friday,11,16,5,18
Friday,11,16,6,72
Friday,11,16,7,202
Friday,11,16,8,425
Friday,11,16,9,355
Friday,11,16,10,171
Friday,11,16,11,127
Friday,11,16,12,156
Friday,11,16,13,132
Friday,11,16,14,174
Friday,11,16,15,154
Friday,11,16,16,272
Friday,11,16,17,353
Friday,11,16,18,276
Friday,11,16,19,168
Friday,11,16,20,92
Friday,11,16,21,82
Friday,11,16,22,71
Friday,11,16,23,49
Friday,11,23,0,10
Friday,11,23,1,8
Friday,11,23,2,3
Friday,11,23,3,2
Friday,11,23,5,8
Friday,11,23,6,9
Friday,11,23,7,2
Friday,11,23,8,38
Friday,11,23,9,6
Friday,11,23,10,22
Friday,11,23,11,42
Friday,11,23,12,34
Friday,11,23,13,10
Friday,11,23,14,44
Friday,11,23,15,10
Friday,11,23,16,33
Friday,11,23,17,89
Friday,11,23,18,6
Friday,11,23,19,62
Friday,11,23,20,29
Friday,11,23,21,39
Friday,11,23,22,8
Friday,11,23,23,34
Friday,11,30,0,30
Friday,11,30,1,13
Friday,11,30,2,8
Friday,11,30,3,4
Friday,11,30,4,13
Friday,11,30,5,26
Friday,11,30,6,101
Friday,11,30,7,291
Friday,11,30,8,713
Friday,11,30,9,643
Friday,11,30,10,298
Friday,11,30,11,222
Friday,11,30,12,265
Friday,11,30,13,236
Friday,11,30,14,244
Friday,11,30,15,269
Friday,11,30,16,418
Friday,11,30,17,670
Friday,11,30,18,522
Friday,11,30,19,284
Friday,11,30,20,174
Friday,11,30,21,105
Friday,11,30,22,93
Friday,11,30,23,70
Friday,12,7,0,42
Friday,12,7,1,18
Friday,12,7,2,19
Friday,12,7,3,6
Friday,12,7,4,12
Friday,12,7,5,27
Friday,12,7,6,112
Friday,12,7,7,290
Friday,12,7,8,733
Friday,12,7,9,664
Friday,12,7,10,285
Friday,12,7,11,199
